"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NR4A1",0,3.20895355476312,0.417,0.068,0
"CD5",0,-4.03848258109145,0.04,0.387,0
"POU2F2",0,2.13264098182539,0.475,0.128,0
"LRRK2",0,7.0467806372747,0.349,0.003,0
"TPP1",0,2.27519628121108,0.456,0.111,0
"MARCKS",0,7.37441777397101,0.347,0.003,0
"CDC25B",0,-3.17929383856963,0.079,0.423,0
"PGLS",0,1.61795542569713,0.668,0.325,0
"CCR7",0,-4.27261896700717,0.034,0.377,0
"LIME1",0,-3.74521588231713,0.049,0.391,0
"IQGAP1",0,1.52888991220528,0.606,0.264,0
"RASSF4",0,6.94246525685572,0.345,0.004,0
"TSPO",0,2.20978654284607,0.851,0.51,0
"SERPINB1",0,1.69456896875517,0.674,0.335,0
"MIDN",0,2.32373321089456,0.456,0.117,0
"TMEM167A",0,2.1206372089576,0.479,0.14,0
"MGST1",0,7.72098621062308,0.34,0.002,0
"SCPEP1",0,3.21238366983319,0.386,0.048,0
"SH3BP2",0,3.24721152565647,0.379,0.043,0
"FMNL1",0,1.81416096064865,0.502,0.166,0
"CLTA",0,1.69191903190637,0.544,0.209,0
"CXCL8",0,9.48612097977333,0.337,0.002,0
"GRB2",0,1.50225400416448,0.672,0.337,0
"TSTD1",0,-2.44793240837054,0.116,0.45,0
"LEPROTL1",0,-1.7239487867262,0.351,0.684,0
"ACAP1",0,-2.09218229166021,0.211,0.544,0
"PLEKHO1",0,3.16408061041773,0.385,0.052,0
"MXD1",0,3.295122967845,0.382,0.049,0
"TRAT1",0,-4.24481475306422,0.03,0.363,0
"LINC01272",0,6.77221174579377,0.335,0.003,0
"CTD-3252C9.4",0,2.57413444719873,0.437,0.105,0
"ATG3",0,1.82854973992539,0.508,0.177,0
"TNFSF13",0,5.76640750352267,0.338,0.007,0
"LAT2",0,5.08359018375037,0.34,0.01,0
"CAPNS1",0,2.49906107760915,0.413,0.084,0
"TBC1D10C",0,-2.37695438285243,0.153,0.481,0
"TBXAS1",0,4.05228952219169,0.349,0.022,0
"RILPL2",0,1.93879862198207,0.474,0.147,0
"ATP6V1F",0,1.60571155744155,0.683,0.357,0
"AOAH",0,4.40614537025112,0.342,0.016,0
"C20orf24",0,1.77004201723243,0.521,0.195,0
"ZFAND5",0,1.72111469249317,0.561,0.236,0
"BNIP3L",0,1.75289048730519,0.523,0.199,0
"LILRA2",0,8.06279545821335,0.325,0.002,0
"TXN",0,1.13547520798888,0.678,0.356,0
"SKAP2",0,3.58655379431423,0.355,0.033,0
"RETN",0,8.17311689574429,0.323,0.002,0
"MGAT1",0,1.7922801548956,0.486,0.165,0
"RCAN3",0,-2.97152040875647,0.082,0.402,0
"CSF1R",0,6.18128873920783,0.324,0.005,0
"ATP6V1B2",0,2.81515322430234,0.381,0.062,0
"PEBP1",0,-1.71322075305339,0.278,0.597,0
"RAB11FIP1",0,2.82612759479461,0.377,0.059,0
"HK3",0,7.34689458457373,0.32,0.003,0
"BID",0,2.30370544812562,0.413,0.096,0
"RAB32",0,6.45740096157367,0.319,0.003,0
"SNRPN",0,-2.5919760076985,0.107,0.423,0
"ARRB2",0,1.39381053074387,0.658,0.343,0
"PBXIP1",0,-2.96244465402345,0.085,0.399,0
"ADRBK1",0,1.77089560023274,0.465,0.152,0
"ISG20",0,-1.94114660945348,0.207,0.519,0
"GYPC",0,-1.6906789103873,0.287,0.599,0
"TRAF3IP3",0,-1.66636149868392,0.355,0.666,0
"PIM2",0,-2.84836275054674,0.094,0.405,0
"TXNDC17",0,1.83592255035077,0.459,0.148,0
"PECAM1",0,2.88642538820612,0.364,0.053,0
